位号,类别,元件/型号,封装,数量,规格/关键参数,用途说明,参考单价区间¥(随行情),备注/替代料
U1,主控 MCU,STM32F103C8T6,LQFP-48,1,Cortex-M3@72MHz/64KB Flash/20KB RAM/USB FS 设备,主控：CDC+DFU 复合设备核心,8~25(原装);国产兼容GD32F103约5~8,务必从立创商城等正规渠道购原装;散新/假货鉴别见 experience.md
U2,电源 DC-DC,MP1584EN,SOIC-8-EP,1,输入4.5~28V/输出3A/内置功率管,24V 工业输入→5V 降压,1~3,替代:TPS54331/LMR51430(输入裕量更高);外置功率管方案成本更低
U3,电源 LDO,AMS1117-3.3,SOT-223,1,输出3.3V/1A/压差约1.1V,5V→3.3V 供 MCU 与 USB 上拉,0.3~1,替代:ME6217C33/RT9013(低压差更优);注意 5V 满载时 LDO 发热
U4,ESD 防护(USB),USBLC6-2SC6,SOT-23-6,1,±15kV ESD/低结电容<1pF/保护 D+ D- VBUS,USB 差分线+VBUS 静电防护,0.5~2,替代:Nexperia PESD1CAN(双线CAN/USB通用)/NUP2105L;必须贴近 USB 连接器放置
U5,RS485 收发器(可选),SP3485EN 或 MAX3485,SOIC-8,1,3.3V 供电/半双工/10Mbps 级,演示 CDC 设备与 RS485 总线共存布局,1.5~4,隔离版:隔离型收发器(如 ADM2483)+隔离电源 B0505S-1W
Y1,晶振,8MHz 无源晶振(3225 贴片),SMD-3225,1,±20ppm/负载电容按规格书(典型 18pF),PLL×9=72MHz→USB 48MHz 时钟源,0.5~2,USB 对时钟精度敏感;禁用内部 HSI 做USB时钟;负载电容 C1/C2 按晶体规格选
C1/C2,晶振负载电容,20pF NP0/COG,0603,2,按 Y1 规格书 CL 计算:CL=(C1*C2)/(C1+C2)+Cstray,晶振起振与精度,0.05~0.2,
C3~C12,去耦电容,0.1uF X7R + 10uF/22uF,0603/0805,12,每电源脚 0.1uF;VBUS 10uF;24V 输入 22uF/50V,电源完整性,合计1~3,VDDA 单独 0.1uF+1uF 并经磁珠 L1 供电
L1,磁珠,600R@100MHz,0603,1,额定电流≥200mA,VDDA/PLL 电源滤波,0.1~0.5,
R10,USB 上拉电阻,1.5kΩ 1%,0603,1,D+ 经此电阻上拉到 3.3V,USB 全速设备速度识别(关键!),0.05~0.3,F103 无内置上拉必须外接;蓝pill 板此位是 4.7k/10k 属于设计错误;可选软连接电路见 设计要点.md
R11/R12,USB 串阻,22Ω 5%,0603,2,串在 D+/D- 走线上,抑制振铃/限流,0.05~0.2,AN4879 推荐做法;靠近 MCU 端
R13,BOOT0 下拉,10kΩ 5%,0603,1,BOOT0 经 10k 接 GND,默认从 Flash 启动,0.05,配 J1 跳线可切到 3.3V 进入 ROM DFU 救砖
R14~R16,RS485 端接/偏置(可选),120Ω x1 + 560Ω~10k 偏置 x2,0805/0603,3,A-B 120Ω 端接;A/B 对 3.3V/GND 失效保护偏置,总线空闲钳位,0.2,按现场拓扑取舍
D1,浪涌 TVS,SMBJ33CA,SMC/SMB,1,Vrwm=33V/双向600W,24V 输入口浪涌防护,0.3~1,工业 24V 口建议再加 GDT/PTC 视等级
D2,防反接,SS34 肖特基 或 AO3401 PMOS,SMA/SOT-23,1,3A/40V,24V 输入防反接,0.2~0.5,PMOS 压损耗更小;工业品建议 PMOS 方案
F1,自恢复保险丝,500mA PTC,1206,1,维持电流 0.5A,VBUS 与 24V 口限流保护,0.1~0.3,
CN1,USB 连接器,USB Type-B 母座(90° 插板),DIP/SMD,1,USB 2.0/插拔寿命≥1500次,USB 接口(工业设备惯用 B 型口+面板固定),0.5~2,替代:USB-C 16Pin;端子机台可用Type-B转面板线
CN2,接线端子,KF128 5.08mm 2P x2 / XH2.54-4,通孔,2~3,300V/10A(按需),24V 输入端子、RS485 A/B 端子,0.3~1,
CN3,SWD 排针,1x4P 2.54mm 排针,通孔,1,3V3/SWDIO/SWCLK/GND,烧录与调试口(设计上必须保留),0.1~0.3,贴片前/返修全靠它;见 设计要点.md
J1,BOOT0 跳线,2x1P 2.54mm 排针+跳线帽,通孔,1,BOOT0-GND/3.3V 选择,进 ROM DFU 救砖通道,0.1,
SW1,复位按键,轻触开关 6x6,通孔,1,*,NRST 手动复位,0.1~0.3,
LED1/LED2,指示灯,0603 LED(红/绿),0603,2,电源/心跳 各一,现场可观测性,0.1~0.3,LED2 接 PA1 由固件 1Hz 心跳驱动
PCB,印制板,2 层 1.6mm 沉金,*,1,USB 差分对按 90Ω 差分阻抗走线(工艺要求需向板厂备注),整机载体,5~20(打样),D+/D- 等长差分、远离 RS485/24V 大电流回路;隔离方案则分隔离带
结构件,外壳/面板(可选),铝壳或 ABS 壳,*,1,带 USB Type-B 开孔与导轨卡扣,工业现场防尘/防插拔应力,10~40,USB 口承受插拔应力是现场损坏主因之一
