位号,物料,规格,数量,单价区间(USD),选型理由
U1,主控MCU,Raspberry Pi RP2040 QFN-56,1,0.30~0.70（随行情）,双核M0+；USB1.1 FS Device；TinyUSB官方支持；生态与文档最完善；QFN56需回流焊量产需考虑钢网与炉温曲线
U2,SPI Flash,W25Q16JVSSIQ SOP-8 16Mbit,1,0.15~0.35（随行情）,RP2040代码必须外挂QSPI Flash；其唯一ID可通过pico_unique_id读取用作USB序列号(见firmware/src/usb_descriptors.c)
U3,LDO,ME6211C33M5G SOT-23-5 3.3V 500mA,1,0.02~0.08,低压差(输入直接接VBUS 5V)低静态电流；同规格可替换XC6206/RT9013等
U4,ESD保护阵列,USBLC6-2SC6 SOT-23-6,1,0.05~0.15,D+/D-低结电容(亚pF~1pF量级)双向ESD防护；可替换TPD2E001等；必须紧贴USB连接器放置(见设计要点)
J1,USB连接器,USB Type-C 16Pin 板载卧贴母座,1,0.10~0.30,主流外形免转接线；务必正规授权渠道采购——低价仿冒座子存在端子镀层偷工/插拔寿命不达标/弹片接触阻抗大等量产隐患
Y1,晶振,12MHz ±30ppm 3225 8pF~12pF,1,0.05~0.15,RP2040参考时钟源；精度需求以RP2040 Datasheet时钟规格为准；3225体积适合量产贴装
C1 C2,晶振负载电容,15pF 0402 NP0,2,0.002~0.008,初值按晶振CL=10pF估算(公式见设计要点)；实际以阻抗匹配测试或厂商推荐为准
R1 R2,CC下拉电阻,5.1kΩ ±1% 0402,2,0.002~0.008,Type-C设备必需；CC1/CC2各下拉5.1k宣告默认USB功率(见设计要点)
R3 R4,LED限流电阻,1kΩ 0402,2,0.002~0.008,LED1/LED2限流；亮度与功耗平衡取值
C3~C12,去耦电容,100nF 0402 X7R,10,0.002~0.008,MCU每个电源引脚就近去耦；具体位号以RP2040硬件设计指南与Pico官方原理图为准
C13 C14,储能/滤波电容,10uF 0805 X5R,2,0.010~0.040,VBUS入口与LDO输出；更大容量的浪涌限制条件以USB 2.0规范7.2.4节为准(见设计要点)
CM1,共模电感(可选),DLW31SN类 0805,1,0.05~0.15,EMI整改用；可通过认证压力不大时可用0Ω电阻降成本；量产依据传导/辐射测试结果决定贴或不贴
SW1,按键,贴片轻触开关 3.4x3.0 H2.5mm,1,0.02~0.10,BOOTSEL烧录按键(接QSPI_SS网络)；寿命选10万次级
SW2~SW4,按键,贴片轻触开关 3.4x3.0 H2.5mm,3,0.02~0.10,演示功能键：打字/鼠标轨迹/多媒体；接MCU GPIO内部上拉(免外部电阻)
LED1,LED,0402 绿色,1,0.005~0.030,电源指示
LED2,LED,0402 白/黄,1,0.005~0.030,状态或键盘CapsLock指示(由主机SET_REPORT输出驱动，见firmware/src/hid_app.c)
PCB1,PCB,2层 FR-4 1.6mm 沉金,1,0.30~1.50（1k量随行情）,USB差分对90Ω阻抗控制；沉金利于QFN细间距焊接与接触可靠性；小批量打样另计工程费
合计,BOM成本(1台),按1k量级估算,1,约1.3~3.2（随行情波动）,不含SMT贴装费/钢网/工程费/组装与包装；实际以询价为准
