# USB-Labs Lab6 · BLE 双模键鼠 BOM（键盘本体 x1 + USB dongle x1）
# 说明：
#  - 单价为公开渠道量级区间（USD，随行情浮动），采购前以实际报价为准。
#  - "双份生产"策略：U1（键盘）与 U2（dongle）用同一颗 nRF52840，贴片/库存归一。
#  - 位号为示意，按自己原理图重排。选项 A = CR2032 一次性电池；选项 B = 锂电池 + 充电管理。
编号,位号,类别,元件/规格,封装,数量,单价区间(USD),用途/备注
1,U1,主控,nRF52840-QIAA（1MB Flash / 256KB RAM，内置 BLE 5 射频 + 全速 USB）,aQFN73,1,3.0-6.0,键盘本体（随行情）
2,U2,主控,nRF52840-QIAA（同上，与 U1 同料双份生产）,aQFN73,1,3.0-6.0,dongle 侧：USB HID + 2.4G 接收（随行情）
3,Y1,HF 晶振,32MHz ±20ppm（nRF52840 射频/USB 时钟必需，外部 HFXO）,3225,2,0.10-0.30,键盘与 dongle 各一颗；USB 也由 32M 派生 48M，无需另配晶振
4,Y2,LF 晶振,32.768kHz ±20ppm CL=12.5pF（3215/2012）,2012,2,0.10-0.30,睡眠时钟/低功耗调度（精度直接影响睡眠电流，见设计要点）
5,L1/L2,电感,10uH DC/DC 电感（nRF52840 内部 DC/DC 外围）,0603/0805,2,0.05-0.15,可显著降低 3V 供电下的电流（量级参考数据手册）
6,C9/C10,π型匹配-串联电感,2.7~5.6nH（预留，实测后定值）,0402,2,0.02-0.10,2.4G 天线 π 网络串联臂（每板 1 套）
7,C11/C12,π型匹配-并联电容,0.3~1.5pF（预留，实测后定值）,0402,4,0.02-0.10,π 网络两并联臂；工厂用 VNA 调整后固化 BOM
8,ANT1,天线,2.4G PCB 倒 F/曲折天线（MIFA/IFA，0 元件成本）,-,2,0.00,净空区规则见 hardware/设计要点.md
9,SW1-SW3,开关,轻触开关 3~4 颗：复位 / 配对 / 通道切换（1-2-3-dongle 循环）,3x4x2.5,4,0.02-0.10,配对与多设备体验入口（见 experience.md）
10,BT1,电源-选项A,CR2032 电池座（带焊脚，卧式/立式）,-,1,0.10-0.30,一次性电池方案；容量约 210~240mAh
11,BT2,电源-选项B,锂电池（如 LIR2032/502030 级）+ 保护板,-,1,0.50-1.50,与 12 充电 IC 配套；营销可做"可充电"卖点
12,U3,电源-选项B,充电管理 IC（MCP73831 / TP4056 类线性充电）,SOT23-5/SOP8,1,0.05-0.30,锂电方案：USB 5V 输入充电
13,U4,电源（可选）,超低静态电流 DC-DC（TPS62740 类，Iq 百nA级）或 3.3V LDO,-,1,0.20-0.60,锂电方案把 3.7V 降到 3.3V/1.8V；用 nRF 内部 DC/DC 时可省
14,J1,连接器,dongle：USB Type-A 插板（PCB 边缘金手指或立式插件）；键盘充电口：Type-C 16pin,USB-A/Type-C,2,0.10-0.40,键盘选项 A 可省去充电口
15,D1,保护,USB ESD 阵列（USBLC6-2SC6 类，保护 VBUS/D+/D-）,SOT23-6,1,0.05-0.20,dongle 必备；键盘充电口同样建议
16,F1,保护,自恢复保险丝 0.5A（dongle VBUS 入口，可选）,0805,1,0.02-0.05,防短路返修
17,LED1-LED2,指示,LED x2（通道/电量指示，单色即可；RGB 是营销项）,0603,2,0.01-0.05,通道指示 + 低电量提醒
18,J2,调试,SWD 调试口：TagConnect TC2030 焊盘或 1.27mm 2x5 排针,-,2,0.05-0.20,量产烧录夹具对接（见 experience.md §5）
19,C1-C8,阻容,去耦：每电源脚 100nF + 每芯片 1 颗 4.7~10uF；VDD_nRF 3.3V,-,约30,合计0.10-0.30,纽扣电池峰值电流靠去耦电容削峰（见设计要点 §3）
20,R1-R6,阻容,晶振负载电容（按 CL 公式计算）/ LED 限流 / VBUS 分压检错,0402/0603,约12,合计0.05-0.15,负载电容计算见设计要点 §2
21,PCB1,板材,键盘主板 2 层 1.0mm（RF 板建议 4 层）+ dongle小板 2 层,-,2,1.0-4.0,RF 性能与层数关系见设计要点 §1
22,ME1,机构,键盘外壳 + dongle 外壳（塑料；天线区无金属化）,-,2,外购,外壳对天线频偏影响见设计要点 §1
