类别,序号,物料,规格/型号,数量,教学级单价区间(¥),商业级单价区间(¥),备注
主控,1,MCU 主控芯片,STM32H743ZIT6（Cortex-M7 480MHz OTG HS+DCMI）,1,45–75,—,教学级方案核心；商用仅见低速工业相机
主控,2,MCU 开发板,NUCLEO-H743ZI2,1,250–350,—,免焊路线；量产无此物料
主控,3,SoC 核心板,全志 V3s / 瑞芯微 RV1106 / 海思 Hi3516EV200 / 君正 T31 任一,—,—,50–150,商业主流；含 eMMC/NOR 与电源
主控,4,HS USB PHY,USB3300（ULPI）,1,10–25,—,H743 走高速必须外挂 ULPI PHY
视频,5,摄像头模组（教学）,OV5640 DVP 定焦模组（支持 JPEG 直出）,1,25–60,—,DCMI 并行口；JPEG 由 sensor 内编码
视频,6,摄像头模组（商用）,MIPI CSI-2 sensor FPC 模组（如 SC3336/OV5647 级）,1,—,15–60,接 SoC 片上 ISP；带 IR 滤光片
视频,7,镜头,"定焦（教学）/ 大光圈广角（会议机 90–120°）",1,含模组,5–20,商用单列镜头成本便于 BOM 拆解
音频,8,I2S MEMS 麦克风,INMP441 / ICS-43434 模组,1,5–35,—,数字 I2S 直出；教学免模拟前端
音频,9,音频 codec,ES8311（I2S）,1,—,2–8,商业级；配模拟 MIC 偏置电路
音频,10,驻极体/硅麦（商用）,模拟 ECM 或差分硅麦,1,—,0.5–5,配 ES8311 模拟输入
电源,11,晶振,24MHz（H743/HSE）+ 12/24/25MHz（PHY/SoC 按手册）,2,1–5,1–5,频率以所选芯片数据手册为准
电源,12,LDO/DCDC,3.3V/1.8V/1.2V（核心板自含）,2–3,2–10,含核心板,模拟供电建议 LDO
保护,13,ESD 阵列,USBLC6-2 / TPD4E05 类（USB D+/D-）,1,0.5–3,0.5–3,HS 布线时选低结电容型号
保护,14,自恢复保险/TVS,VBUS 500mA PTC,1,0.2–1,0.2–1,会议设备常带外置电源口则另计
PCB,15,PCB 打样,4 层（教学 2 层可跑 FS；HS 建议 4 层）,1,50–200,20–80/片,小批量含 SMT 贴装另计
结构,16,外壳,亚克力/3D 打印（教学）,—,10–40,—,教学不做结构
结构,17,铝壳,阳极氧化铝 CNC/压铸（含散热与屏蔽）,1,—,40–120,小批量摊销模具后更高；兼顾散热与 EMI
其他,18,USB 座,Type-C 16P 母座,1,0.5–2,0.5–2,会议设备标配 Type-C
其他,19,连接线/排线,FPC 排线+杜邦（教学）,—,5–20,5–15,sensor FPC 注意阻抗与长度
其他,20,LED 指示,"工作/隐私指示（会议机认证常要求工作 LED）",2,0.2–1,0.2–1,认证要求见 experience.md
合计（教学级，开发板路线）,—,—,—,—,约 400–700,—,NUCLEO+OV5640+MEMS 麦+PHY+杂件
合计（教学级，裸片路线）,—,—,—,—,约 150–300,—,需自画 4 层板，风险与工作量高
合计（商业级整机 BOM）,—,—,—,—,—,约 150–400,核心板+sensor+codec+铝壳；量产价格另议
