序号,分类,物料,规格/封装,数量,单价区间 CNY(参考),参考型号/渠道,焊接方式,备注
1,主控,MCU,RP2040 QFN-56 7x7,1,8-15,树莓派 RP2040（立创商城/得捷），或直接用树莓派 Pico 板 25-40 元,回流焊,QFN 需要回流焊或热风；新手建议直接用 Pico 模组跳过 1/2/3
2,主控,QSPI Flash,W25Q16JVUXIQ SOIC-8 16Mbit,1,1-2.5,华邦 W25Q16JV（立创商城）,手工/回流,程序+RAM盘预留；做 4MB RAM 盘则换 W25Q32JV 约 1.5-3 元
3,主控,晶振,12MHz 3225 ±10ppm CL=15pF,1,0.3-0.8,常规 3225 贴片晶振（立创商城），按 RP2040 硬件设计手册选 ESR<=80Ω,回流,起振电容按晶振 CL 计算（约 15pF 起步）
4,存储,TF 卡座（push-push 自弹式）,9P+CD检测脚,1,1.5-3,Molex 104031-0811（得捷/立创有现货），国产兼容座 0.8-1.5 元,回流,自带卡检测(CD)开关；弹片寿命约1万次，消费级常用
5,存储,TF 卡座（push-pull 推拉式）,9P+CD检测脚,1,0.5-1.5,立创商城搜索“microSD 卡座 推拉式”选现货（如国产兼容 MOLEX 尺寸系列；采购时务必核对 push/pull 方式与 CD 脚），备选 Hirose 等正规品牌,回流,结构简单、寿命长，记录仪/读卡器内置首选；本实验 BOM 默认自弹式
6,ESD,USB 数据线 ESD 阵列,SOT-23-6,1,0.5-1.5,ST USBLC6-2SC6（D+/D- 差分对，结电容约 0.6pF）,手工/回流,必须靠近 USB 连接器放置（<5mm）
7,ESD,TF 卡座 ESD 阵列,USON-10/DFN,1-2,0.8-2,TI TPD4E05U06（4 通道，结电容约 0.45pF）；6 根信号线（CLK/CMD/DAT0-3）可用 2 片，CD 脚用普通 ESD 管,手工/回流,卡座也是用户可触金属面！ESD 常被漏掉导致插拔坏主控；高速线选 <=1pF 低容型号
8,电源,VBUS 浪涌保护,SMA/DO-214AC,1,0.2-0.5,SMAJ5.0A TVS（VBUS 对地）,手工/回流,卡热插拔+USB 插拔浪涌吸收
9,电源,LDO 3.3V 1A,SOT-23-5,1,0.3-0.8,ME6217C33M5G 或同规格（替代 AMS1117-3.3 SOT-223 约 0.2-0.5 元但压差大）,手工/回流,RP2040+SD 写入峰值约 200-300mA，选 1A 档
10,电源,卡电源限流开关,SOT-23-5,1,0.5-1.5,SY6280AAC（限流 1A 带软启动）；备选 TPS2051B（约 3-5 元）,手工/回流,TF 卡热插拔浪涌的关键：软启动限制 inrush，过流可关断（详见设计要点）
11,连接器,USB Type-C 母座,16PIN 板上型,1,0.5-1.5,USB2.0 用 16pin 座即可（立创商城），6+5pin 简化座 0.3-0.8 元,回流,仅 USB2.0：CC1/CC2 各接 5.1kΩ 下拉（12/13 号料）
12,阻容,CC 下拉电阻,5.1kΩ 0603,2,0.01,常规 0603 贴片电阻,手工/回流,Type-C 默认 Sink 角色，缺了主机可能不给 VBUS
13,阻容,SD 总线上拉电阻,10kΩ 0603,4-5,0.01,常规 0603,CMD/DAT0-3 各一只（SPI 模式下至少 CS/MISO 各一只），按 SD 规范 10-90kΩ 取 10k
14,阻容,去耦电容,0.1µF 0603 + 10µF 0805,10+4,0.02-0.05,常规，RP2040 每个 VDD 引脚一颗 0.1µF；卡座 VDD 处 10µF 低 ESR 钽/MLCC,手工/回流,卡电源 10µF 布在卡座旁（浪涌/电压跌落缓冲）
15,阻容,BOOT/复位,轻触开关 3x4 + 10kΩ,2+2,0.05,常规,手工,BOOTSEL 进 UF2 烧录模式必备
16,LED,状态 LED,0603 绿/红 + 1kΩ,2+2,0.05,常规,手工,盘读写活动灯（模拟 U 盘指示灯，固件已留代码）
17,PCB,主 PCB,2 层 FR-4 1.6mm ENIG,5,打样 5-50（活动价-常规）,嘉立创/捷多巴等，5 片打样,——,TF 卡座焊盘按 datasheet 画扇形引出；USB 差分 90Ω 不必严格控阻抗（FS），卡 CLK 线注意等长/回流（见设计要点）
18,PCB,转接板（可选）,Pico 扩展板,1,10-30,若用 Pico 模组则画一块子板承载卡座+电源,——,教学路线：Pico 母座 + 卡座 + 限流开关 + ESD，半小时画完
19,辅料,TF 测试卡,32GB A1 级 正规渠道,1,20-35,京东自营/天猫旗舰店（闪迪/雷克沙/金士顿）,——,严禁地摊卡做开发（假容量卡会浪费一整天排查，见 experience.md）；工业场景预算 8GB pSLC 约 100-200 元
20,辅料,排针/排母/杜邦线,2.54mm 若干,1 套,3-8,常规,手工,Pico 与卡座子板互联 + UART 调试口
